#Start Time,End Time,Experiment,Flux Type,Flags,User Experiment Name,User Filename,Options,BGStart,BGEnd,JSON Type,Spacecraft,IDSEP Path,Location,Species
1998-07-01 00:00:00,1998-08-19 00:30:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
1998-08-19 00:30:00,1998-08-21 12:20:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
1998-08-21 12:20:00,1998-08-24 00:40:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
1998-08-24 00:40:00,1998-08-24 22:25:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
1998-08-24 22:25:00,1998-09-05 07:45:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
1998-09-05 07:45:00,1998-09-08 10:20:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
1998-09-08 10:20:00,1998-09-10 17:55:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
1998-09-10 17:55:00,1998-09-22 13:55:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
1998-09-22 13:55:00,1998-09-29 14:20:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
1998-09-29 14:20:00,1998-10-17 23:35:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
1998-10-17 23:35:00,1998-10-20 22:25:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
1998-10-20 22:25:00,1998-10-23 12:05:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
1998-10-23 12:05:00,1998-11-05 04:20:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
1998-11-05 04:20:00,1998-11-10 03:15:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
1998-11-10 03:15:00,1998-11-13 06:15:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
1998-11-13 06:15:00,1998-11-20 15:30:00,GOES-10,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-10_integral/csv,earth,protons
