#Start Time,End Time,Experiment,Flux Type,Flags,User Experiment Name,User Filename,Options,BGStart,BGEnd,JSON Type,Spacecraft,IDSEP Path,Location,Species
2020-03-08 00:00:00,2020-11-29 04:10:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2020-11-29 04:10:00,2020-12-07 01:20:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2020-12-07 01:20:00,2020-12-10 16:25:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2020-12-10 16:25:00,2021-05-28 00:20:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2021-05-28 00:20:00,2021-05-31 12:45:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2021-05-31 12:45:00,2021-06-08 15:00:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2021-06-08 15:00:00,2021-06-11 14:15:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2021-06-11 14:15:00,2021-10-08 13:40:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2021-10-08 13:40:00,2021-10-13 00:45:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2021-10-13 00:45:00,2021-10-27 16:05:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2021-10-27 16:05:00,2021-11-05 09:15:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2021-11-05 09:15:00,2021-11-08 18:55:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2021-11-08 18:55:00,2021-11-13 00:00:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2021-11-13 00:00:00,2022-01-13 23:10:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
