Date,SEP Start Hour,Maximum Proton Energy,Proton Intensity,Type III Time,Flare Start Hour,H-alpha Location,CME First Appearance Hour,CME First Look Time,CME Width,CME Speed,Group,Flare Xray Start Time Deprecated,Flare Xray Peak Time Deprecated,Flare Class Deprecated,Flare Magnitude Deprecated,Flare Time to Peak Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Time To Peak,Flare Catalog ID,GOES Xray Satellite,Radio Type III Start Time,Radio Type III End Time,Radio TyII Imp,CDAW CME First Look Time,CDAW CME Speed,CDAW CME Width,CDAW CME Mean Position Angle,Event Source Latitude,Event Source Longitude,Shock Passage Speed,SEP Reference Start,Comments
1997-04-01,16,50,0.001,1345-1355,1325,25S;016E,1518,1997-04-01 15:18:00,40,312,,1997-04-01 13:25:00,1997-04-01 13:48:00,M2,2.00E-05,23,1997-04-01 13:36:00,1997-04-01 13:48:00,1997-04-01 13:52:00,M2.6,2.60E-05,0.008567374,16,12,199704011336,8,1997-04-01 13:45:00,1997-04-01 13:55:00,3,1997-04-01 15:18:38,312,79,74,-25,-16,,1997-04-01 16:00:00,
1997-04-07,15,70,0.005,1355-1440,1350,28S;019E,1427,1997-04-07 14:27:00,80,878,,1997-04-07 13:50:00,1997-04-07 14:07:00,C7,7.00E-06,17,1997-04-07 13:46:00,1997-04-07 14:07:00,1997-04-07 14:19:00,C9.0,9.01E-06,0.009981523,33,21,199704071346,8,1997-04-07 13:55:00,1997-04-07 14:40:00,3,1997-04-07 14:27:44,878,360,Halo,-28,-19,550,1997-04-07 15:00:00,
1997-05-12,6,80,0.009,0455-0510,442,21N;007W,630,1997-05-12 06:30:00,360,464,,1997-05-12 04:42:00,1997-05-12 04:55:00,C1,1.00E-06,13,1997-05-12 04:42:00,1997-05-12 04:55:00,,C1.4,1.43E-06,,,,,,1997-05-12 04:55:00,1997-05-12 05:10:00,3,1997-05-12 05:30:05,464,360,Halo,21,7,600,1997-05-12 06:00:00,
1997-05-21,21,70,0.001,2010-2015,2003,05N;012W,2100,1997-05-21 21:00:00,30,296,,1997-05-21 20:03:00,1997-05-21 20:15:00,M1,1.00E-05,12,1997-05-21 20:03:00,1997-05-21 20:15:00,,M1.4,1.43E-05,,,,,,1997-05-21 20:10:00,1997-05-21 20:15:00,3,1997-05-21 21:00:53,296,165,263,5,12,380,1997-05-21 21:00:00,
1997-07-25,21,40,0.003,2015-2025,2017,16N;054W,2101,1997-07-25 21:01:00,50,611,,1997-07-25 20:17:00,1997-07-25 20:34:00,C5,5.00E-06,17,1997-07-25 20:17:00,1997-07-25 20:34:00,,C7.1,7.14E-06,,,,,,1997-07-25 20:15:00,1997-07-25 20:25:00,3,1997-07-25 21:01:15,611,84,267,16,54,,1997-07-25 21:00:00,
1997-09-24,4,120,0.003,0250-0300,243,31S;019E,300,1997-09-24 03:00:00,70,532,,1997-09-24 02:43:00,1997-09-24 02:52:00,M6,6.00E-05,9,1997-09-24 02:39:00,1997-09-24 02:48:00,1997-09-24 02:52:00,M8.1,8.14E-05,0.0218472,13,9,199709240239,8,1997-09-24 02:50:00,1997-09-24 03:00:00,3,1997-09-24 03:38:05,532,76,137,-31,-19,,1997-09-24 04:00:00,
1997-10-07,14,50,0.003,~1320,,S;120W,1330,1997-10-07 13:30:00,90,1271,,,,,,,,,,,,,,,,,1997-10-07 13:20:00,,2,1997-10-07 13:30:05,1271,167,246,,120,430,1997-10-07 14:00:00, Southern event
1997-10-21,20,45,0.0004,1740-1750,1700,16N;007E,1803,1997-10-21 18:03:00,360,523,,1997-10-21 17:00:00,1997-10-21 17:54:00,C3,3.00E-06,54,1997-10-21 17:12:00,1997-10-21 17:54:00,1997-10-21 18:15:00,C4.4,4.43E-06,0.008955685,63,42,199710211712,8,1997-10-21 17:40:00,1997-10-21 17:50:00,0,1997-10-21 18:03:45,523,360,Halo,16,-7,,1997-10-21 20:00:00,Passing shock with no particle increase.  No clear evidence of Type II burst in dynamic spectra
1997-11-03,11,40,0.002,1025-1030,1018,17S;022W,1111,1997-11-03 11:11:00,100,352,,1997-11-03 10:18:00,1997-11-03 10:29:00,M4,4.00E-05,11,1997-11-03 10:04:00,1997-11-03 10:29:00,1997-11-03 10:34:00,M5.6,5.67E-05,0.025677172,30,25,199711031004,8,1997-11-03 10:25:00,1997-11-03 10:30:00,3,1997-11-03 11:11:05,352,122,233,-17,22,,1997-11-03 11:00:00,
1997-11-04,7,500,0.9,0555-0615,552,14S;033W,610,1997-11-04 06:10:00,110,785,2,1997-11-04 05:52:00,1997-11-04 05:58:00,X2,0.0002,6,1997-11-04 05:51:00,1997-11-04 05:58:00,1997-11-04 06:02:00,X2.9,0.000291429,0.083774574,11,7,199711040551,8,1997-11-04 05:55:00,1997-11-04 06:15:00,3,1997-11-04 06:10:05,785,360,Halo,-14,33,640,1997-11-04 07:00:00,
1997-11-06,12,900,4.3,1150-1215,1149,18S;063W,1210,1997-11-06 12:10:00,115,1556,2,1997-11-06 11:49:00,1997-11-06 11:55:00,X9,0.0009,6,1997-11-06 11:52:00,1997-11-06 11:55:00,1997-11-06 12:01:00,X12.9,0.001297143,0.522677124,9,3,199711061152,8,1997-11-06 11:50:00,1997-11-06 12:15:00,0,1997-11-06 12:10:41,1556,360,Halo,-18,63,500,1997-11-06 12:00:00,No clear evidence of Type II burst in dynamic spectra
1997-11-13,23,70,0.016,2115-2120,,N;110W,2225,1997-11-13 22:25:00,180,546,1,,,,,,,,,,,,,,,,1997-11-13 21:15:00,1997-11-13 21:20:00,0,1997-11-13 22:25:50,546,288,328,,110,,1997-11-13 23:00:00,Nothern Event; No clear evidence of Type II burst in dynamic spectra
1997-11-14,15,60,0.008,~1300,,N;120W,1336,1997-11-14 13:36:00,140,702,,,,,,,,,,,,,,,,,1997-11-14 13:00:00,,0,1997-11-14 13:36:50,702,217,320,,120,,1997-11-14 15:00:00, Nothern Event; No clear evidence of Type II burst in dynamic spectra
1997-12-06,17,30,0.0007,~1240,1059,47N;013W,1027,1997-12-06 10:27:00,130,397,,1997-12-06 10:59:00,1997-12-06 15:29:00,B7,7.00E-07,270,1997-12-06 10:59:00,1997-12-06 15:29:00,,C1.0,1.00E-06,,,,,,1997-12-06 12:40:00,,0,1997-12-06 10:27:05,397,223,317,47,13,460,1997-12-06 17:00:00, No clear evidence of Type II burst in dynamic spectra
1998-01-26,23,50,0.002,2235-2240,2219,17S;055W,2327,1998-01-26 23:27:00,40,399,1,1998-01-26 22:19:00,1998-01-26 22:35:00,C5,5.00E-06,16,1998-01-26 22:15:00,1998-01-26 22:36:00,1998-01-26 22:47:00,C7.1,7.17E-06,0.007548343,32,21,199801262215,8,1998-01-26 22:35:00,1998-01-26 22:40:00,3,1998-01-26 23:27:31,399,66,257,-17,55,,1998-01-26 23:00:00,Passing shock not related to the source solar activity caused a related increase of particle intensity
1998-04-20,12,380,7.7,~1000,938,S;090W,1007,1998-04-20 10:07:00,150,1863,3,1998-04-20 09:38:00,1998-04-20 10:21:00,M1,1.00E-05,43,1998-04-20 09:38:00,1998-04-20 10:21:00,,M1.4,1.43E-05,,,,,,1998-04-20 10:00:00,,2,1998-04-20 10:07:11,1863,243,284,,90,520,1998-04-20 12:00:00,Southern event
1998-04-29,24,70,0.009,1615-1650,1606,18S;020E,1658,1998-04-29 16:58:00,90,1374,5,1998-04-29 16:06:00,1998-04-29 16:37:00,M7,7.00E-05,31,1998-04-29 16:01:00,1998-04-29 16:37:00,1998-04-29 16:59:00,M9.2,9.27E-05,0.143258572,58,36,199804291601,8,1998-04-29 16:15:00,1998-04-29 16:50:00,,1998-04-29 16:58:54,1374,360,Halo,-18,-20,780,1998-04-30 00:00:00,Event has a slow rise; No Type II data available
1998-05-02,14,900,1.1,1335-1400,1331,15S;015W,1406,1998-05-02 14:06:00,130,938,2,1998-05-02 13:31:00,1998-05-02 13:42:00,X1,0.0001,11,1998-05-02 13:27:00,1998-05-02 13:42:00,1998-05-02 13:50:00,X1.6,0.000161429,0.090946719,23,15,199805021327,8,1998-05-02 13:35:00,1998-05-02 14:00:00,0,1998-05-02 14:06:12,938,360,Halo,-15,15,1120,1998-05-02 14:00:00,No clear evidence of Type II burst in dynamic spectra
