Satellite,Number,Instrument,Status,Start Date,End Date
GOES-06,6,Protons,Primary,1986-01-01 00:00:00,1988-01-26 00:00:00
GOES-07,7,Protons,Primary,1988-01-26 00:00:00,1995-01-05 00:00:00
GOES-08,8,Protons,Primary,1995-01-05 00:00:00,2003-04-08 15:00:00
GOES-10,10,Protons,Primary,2003-04-08 15:00:00,2003-05-15 15:00:00
GOES-08,8,Protons,Primary,2003-05-15 15:00:00,2003-06-18 17:00:00
GOES-11,11,Protons,Primary,2003-06-18 17:00:00,2010-04-14 15:30:00
GOES-13,13,Protons,Primary,2010-04-14 15:30:00,2013-05-22 15:10:00
GOES-15,15,Protons,Primary,2013-05-22 15:10:00,2013-06-05 21:00:00
GOES-13,13,Protons,Primary,2013-06-05 21:00:00,2017-05-30 20:00:00
GOES-15,15,Protons,Primary,2017-05-30 20:00:00,2017-06-23 17:00:00
GOES-13,13,Protons,Primary,2017-06-23 17:00:00,2017-12-12 16:30:00
GOES-15,15,Protons,Primary,2017-12-12 16:30:00,2019-07-08 15:30:00
GOES-14,14,Protons,Primary,2019-07-08 15:30:00,2019-12-09 17:30:00
GOES-16,16,Protons,Primary,2019-12-09 17:30:00,2024-02-15 00:00:00
GOES-18,18,Protons,Primary,2024-02-15 00:00:00,2024-09-06 00:00:00
GOES-5,5,Protons,Secondary,1986-01-01 00:00:00,1988-01-26 00:00:00
GOES-06,6,Protons,Secondary,1988-01-26 00:00:00,1994-12-11 00:00:00
GOES-08,8,Protons,Secondary,1994-12-11 00:00:00,1995-01-05 00:00:00
GOES-07,7,Protons,Secondary,1995-03-01 00:00:00,1998-07-27 00:00:00
GOES-10,10,Protons,Secondary,1998-07-27 00:00:00,2003-04-08 15:00:00
GOES-12,12,Protons,Secondary,2003-04-08 15:00:00,2003-04-26 00:00:00
GOES-10,10,Protons,Secondary,2003-05-15 15:00:00,2003-06-19 00:00:00
GOES-10,10,Protons,Secondary,2006-06-22 14:00:00,2006-06-23 00:00:00
GOES-10,10,Protons,Secondary,2007-12-05 00:00:00,2007-12-18 00:00:00
GOES-10,10,Protons,Secondary,2008-11-28 00:00:00,2009-12-01 00:00:00
GOES-11,11,Protons,Secondary,2010-04-14 15:30:00,2011-02-28 18:00:00
GOES-15,15,Protons,Secondary,2011-02-28 18:00:00,2012-10-23 22:00:00
