SEP Reference Start,SEP Reference End,Event Source Longitude,Event Source Latitude,25 MEV Proton Intensity (MeV s cm^2 sr)^-1,GLE Event Number,GOES >10 MeV (pfu),CME speed (km/s),CDAW CME First Look Time,CDAW CME Speed,CDAW CME Width,CDAW CME Central Position Angle,CDAW CME Mean Position Angle,Flare Xray Start Time Deprecated,Flare Magnitude Deprecated,Flare Class Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Time To Peak,Flare Catalog ID,GOES Xray Satellite,Case,Comments
1967-05-23 18:14:00,1967-05-24 18:14:00,-25,30,,,,,,,,,,,,,,,,,,,,,,,,
1967-05-28 05:46:00,1967-05-29 05:46:00,33,28,5,,,,,,,,,,,,,,,,,,,,,,,
1967-06-03 03:02:00,1967-06-04 03:02:00,-14,24,0.05,,,,,,,,,,,,,,,,,,,,,,,
1967-06-06 06:03:00,1967-06-07 06:03:00,150,,0.5,,,,,,,,,,,,,,,,,,,,,,,
1967-06-12 13:00:00,1967-06-13 13:00:00,,,0.1,,,,,,,,,,,,,,,,,,,,,,,
1967-07-04 07:57:00,1967-07-05 07:57:00,,,0.02,,,,,,,,,,,,,,,,,,,,,,,
1967-08-01 17:36:00,1967-08-02 17:36:00,62,27,0.01,,,,,,,,,,,,,,,,,,,,,,,
1967-08-03 09:36:00,1967-08-03 15:00:00,85,27,0.01,,,,,,,,,,,,,,,,,,,,,,,
1967-08-03 15:00:00,1967-08-04 15:00:00,,,0.005,,,,,,,,,,,,,,,,,,,,,,,
1967-08-09 18:00:00,1967-08-10 18:00:00,,,0.001,,,,,,,,,,,,,,,,,,,,,,,
1967-09-18 12:00:00,1967-09-19 12:00:00,,,0.001,,,,,,,,,,,,,,,,,,,,,,,
1967-10-29 06:00:00,1967-10-30 06:00:00,,,0.005,,,,,,,,,,,,,,,,,,,,,,,
1967-11-02 11:00:00,1967-11-03 11:00:00,2,-18,0.5,,,,,,,,,,,,,,,,,,,,,,,
1967-11-04 12:12:00,1967-11-05 12:12:00,33,-18,0.05,,,,,,,,,,,,,,,,,,,,,,,
1967-11-07 02:00:00,1967-11-08 02:00:00,51,-15,0.01,,,,,,,,,,,,,,,,,,,,,,,
1967-11-11 18:30:00,1967-11-12 18:30:00,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
1967-11-13 03:30:00,1967-11-14 03:30:00,,,0.1,,,,,,,,,,,,,,,,,,,,,,,
1967-11-15 14:30:00,1967-11-16 14:30:00,,,0.1,,,,,,,,,,,,,,,,,,,,,,,
1967-12-03 09:15:00,1967-12-04 09:15:00,105,,1,,,,,,,,,,,,,,,,,,,,,,,
1967-12-11 23:58:00,1967-12-12 23:58:00,18,-21,0.005,,,,,,,,,,,,,,,,,,,,,,,
1967-12-16 02:56:00,1967-12-17 02:56:00,-66,23,0.05,,,,,,,,,,,,,,,,,,,,,,,
1967-12-17 18:20:00,1967-12-18 18:20:00,9,19,0.1,,,,,,,,,,,,,,,,,,,,,,,
1968-01-11 17:02:00,1968-01-12 17:02:00,39,-25,0.1,,,,,,,,,,,,,,,,,,,,,,,
1968-02-01 18:30:00,1968-02-02 18:30:00,20,17,0.001,,,,,,,,,,,,,,,,,,,,,,,
1968-02-08 14:15:00,1968-02-09 14:15:00,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
1968-02-12 12:00:00,1968-02-13 12:00:00,,,0.005,,,,,,,,,,,,,,,,,,,,,,,
1968-02-17 02:54:00,1968-02-18 02:54:00,47,17,0.1,,,,,,,,,,,,,,,,,,,,,,,
1968-02-21 20:45:00,1968-02-22 20:45:00,,,1,,,,,,,,,,,,,,,,,,,,,,,
1968-02-26 05:45:00,1968-02-27 05:45:00,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
1968-03-10 00:00:00,1968-03-11 00:00:00,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
1968-03-21 16:10:00,1968-03-22 16:10:00,54,17,0.002,,,,,,,,,,,,,,,,,,,,,,,
1968-04-23 13:10:00,1968-04-24 13:10:00,,,0.001,,,,,,,,,,,,,,,,,,,,,,,
1968-04-26 15:47:00,1968-04-27 15:47:00,49,9,0.1,,,,,,,,,,,,,,,,,,,,,,,
1968-06-09 08:56:00,1968-06-10 08:56:00,8,-14,5,,,,,,,,,,,,,,,,,,,,,,,
1968-06-27 08:30:00,1968-06-28 08:30:00,,,0.0005,,,,,,,,,,,,,,,,,,,,,,,
1968-07-06 09:56:00,1968-07-07 09:56:00,-89,14,0.02,,,,,,,,,,,,,,,,,,,,,,,
1968-07-12 14:15:00,1968-07-13 14:15:00,21,11,0.5,,,,,,,,,,,,,,,,,,,,,,,
1968-07-26 13:00:00,1968-07-27 13:00:00,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
1968-08-04 00:00:00,1968-08-05 00:00:00,,,0.001,,,,,,,,,,,,,,,,,,,,,,,
1968-08-14 13:33:00,1968-08-15 13:33:00,80,13,0.03,,,,,,,,,,,,,,,,,,,,,,,
1968-08-19 23:00:00,1968-08-20 23:00:00,,,0.002,,,,,,,,,,,,,,,,,,,,,,,
1968-08-28 23:00:00,1968-08-29 23:00:00,,,0.001,,,,,,,,,,,,,,,,,,,,,,,
1968-09-26 00:31:00,1968-09-27 00:31:00,-35,14,0.1,,,,,,,,,,,,,,,,,,,,,,,
