Solar Event Date (UT),SEP Event Onset Date (UT), Solar Event-B (deg),I(B),Solar Event-Earth (deg),I(Earth),Solar Event-A (deg),I(A),GOES X-Ray,Radio TyIII_Imp,Radio TyII Imp,CME dA (deg),CME V (km/s),Flare Xray Start Time Deprecated,Flare Magnitude Deprecated,Flare Class Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Time To Peak,Flare Catalog ID,GOES Xray Satellite,Event Source Longitude,CDAW CME First Look Time,CDAW CME Speed,CDAW CME Width,CDAW CME Central Position Angle,CDAW CME Mean Position Angle,DONKI CME Start Time,DONKI CME Speed,DONKI CME Half Width,DONKI CME Lat,DONKI CME Lon,DONKI CME Time at 21.5,DONKI CME Feature,DONKI CME Measurement Technique,DONKI CME Catalog ID,SEP Reference Start,SEP Reference End,Case,Comments
2007-05-19 12:00:00,2007-05-19 14:00:00,8,0.0004,5,0.0009,-1,0.0003,B9.5,1,1,106,958,2007-05-19 12:00:00,9.50E-07,B9.5,2007-05-19 12:42:00,2007-05-19 13:02:00,2007-05-19 13:19:00,C1.5,1.53E-06,0.002112831,37,20,200705000000,10,5,2007-05-19 13:24:04,958,106,260,270,,,,,,,,,,2007-05-19 14:00:00,2007-05-20 14:00:00,,
2007-05-23 07:00:00,2007-05-23 07:00:00,63,0.0003,60,0.0003,54,0.0003,B5.3,1,0,90,679,2007-05-23 07:00:00,5.30E-07,B5.3,2007-05-23 07:09:00,2007-05-23 07:29:00,2007-05-23 07:51:00,B8.7,8.71E-07,0.001443737,42,20,200705000000,10,60,2007-05-23 07:48:04,679,90,277,263,,,,,,,,,,2007-05-23 07:00:00,2007-05-24 07:00:00,,
2007-12-31 00:00:00,2007-12-31 02:00:00,-85,,-108,0.0001,-129,,C8.3,1,1,164,995,2007-12-31 00:00:00,8.30E-06,C8.3,2007-12-31 01:00:00,2007-12-31 01:11:00,2007-12-31 01:20:00,M1.1,1.19E-05,0.014532764,20,11,200712000000,11,-108,2007-12-31 01:31:40,995,164,92,99,,,,,,,,,,2007-12-31 02:00:00,2008-01-01 02:00:00,,
2009-05-05 08:00:00,2009-05-05 10:00:00,-90,,-137,,175,0.0006,,1,1,66,595,,,,,,,,,,,,,,-137,,,,,,,,,,,,,,,2009-05-05 10:00:00,2009-05-06 10:00:00,,CME measurements from STEREO-B CACTUS catalog.
2009-12-22 04:00:00,2009-12-22 05:00:00,113,0.0008,46,0.0005,-18,0.0002,C7.2,1,0,47,318,2009-12-22 04:00:00,7.20E-06,C7.2,2009-12-22 04:00:00,,,M1.0,1.03E-05,,,,,,46,2009-12-22 05:54:03,318,47,266,270,,,,,,,,,,2009-12-22 05:00:00,2009-12-23 05:00:00,,
2010-01-17 03:00:00,2010-01-17 04:00:00,-50,0.0003,-120,0.0003,176,0.003,,1,1,126,350,,,,,,,,,,,,,,-120,2010-01-17 04:50:07,350,126,114,76,,,,,,,,,,2010-01-17 04:00:00,2010-01-18 04:00:00,,
2010-02-06 07:00:00,2010-02-06 08:00:00,53,0.0003,-18,,-83,,C4.0,1,0,56,240,2010-02-06 07:00:00,4.00E-06,C4.0,2010-02-06 06:55:00,2010-02-06 07:04:00,2010-02-06 07:09:00,C5.7,5.78E-06,0.002180057,14,9,201002000000,14,-18,2010-02-06 08:06:03,240,56,90,94,,,,,,,,,,2010-02-06 08:00:00,2010-02-07 03:00:00,,
2010-02-07 02:00:00,2010-02-07 03:00:00,61,0.0003,-10,,-75,,M1.3,1,0,360,421,2010-02-07 02:00:00,1.30E-05,M1.3,2010-02-07 02:00:00,,,M1.8,1.86E-05,,,,,,-10,2010-02-07 03:54:03,421,360,Halo,113,,,,,,,,,,2010-02-07 03:00:00,2010-02-08 03:00:00,,
2010-02-12 11:00:00,2010-02-12 12:00:00,60,0.001,-11,0.0003,-76,,M8.3,1,0,360,509,2010-02-12 11:00:00,8.30E-05,M8.3,2010-02-12 11:15:00,2010-02-12 11:26:00,2010-02-12 11:28:00,X1.2,0.000120356,0.025721122,13,11,201002000000,14,-11,2010-02-12 13:42:04,509,360,Halo,44,,,,,,,,,,2010-02-12 12:00:00,2010-02-13 12:00:00,,
2010-06-12 00:00:00,2010-06-12 01:00:00,113,0.0001,43,0.007,-31,0.0002,M2.0,1,1,119,486,2010-06-12 00:00:00,2.00E-05,M2.0,2010-06-12 00:45:00,2010-06-12 00:57:00,2010-06-12 01:02:00,M2.8,2.88E-05,0.009904534,17,12,201006000000,14,43,2010-06-12 01:31:39,486,119,289,294,,,,,,,,,,2010-06-12 01:00:00,2010-06-13 01:00:00,,
2010-08-07 17:00:00,2010-08-07 19:00:00,38,0.08,-34,0.005,-113,,M1.0,1,2,360,871,2010-08-07 17:00:00,1.00E-05,M1.0,2010-08-07 17:47:00,2010-08-07 18:24:00,2010-08-07 18:47:00,M1.4,1.47E-05,0.025452942,60,37,201008000000,14,-34,2010-08-07 18:36:06,871,360,Halo,94,,,,,,,,,,2010-08-07 19:00:00,2010-08-08 19:00:00,,
2010-08-31 02:00:00,2010-08-31 03:00:00,-141,,145,,64,0.0002,,1,0,33,319,,,,,,,,,,,,,,145,2010-08-31 03:24:05,319,33,258,250,,,,,,,,,,2010-08-31 03:00:00,2010-08-31 22:00:00,,
2010-08-31 21:00:00,2010-08-31 22:00:00,-141,0.0001,145,0.005,64,0.008,,1,1,360,1304,,,,,,,,,,,,,,145,2010-08-31 21:17:21,1304,360,Halo,206,2010-08-31 21:20:00,1200,28,-35,145,2010-08-31 23:30:00,,,2010-08-31T21:20:00-CME-001,2010-08-31 22:00:00,2010-09-01 22:00:00,,
2010-09-04 14:00:00,2010-09-04 20:00:00,144,,70,0.0001,-11,,B2.5,1,0,130,567,2010-09-04 14:00:00,2.50E-07,B2.5,2010-09-04 14:29:00,2010-09-04 14:35:00,2010-09-04 14:38:00,B3.2,3.27E-07,0.000131681,9,6,201009000000,14,70,2010-09-04 15:12:09,567,130,270,239,2010-09-04 15:25:00,400,50,3,20,2010-09-05 01:18:00,,,2010-09-04T15:25:00-CME-001,2010-09-04 20:00:00,2010-09-05 20:00:00,,
2010-09-08 23:00:00,2010-09-09 00:00:00,167,0.0003,92,0.003,10,0.003,C3.3,1,1,147,818,2010-09-08 23:00:00,3.30E-06,C3.3,2010-09-08 22:58:00,2010-09-08 23:33:00,2010-09-09 00:11:00,C4.7,4.74E-06,0.013364754,73,35,201009000000,14,92,2010-09-08 23:26:43,818,147,281,272,2010-09-08 23:26:00,850,45,8,96,2010-09-09 04:16:00,,,2010-09-08T23:26:00-CME-001,2010-09-09 00:00:00,2010-09-10 00:00:00,,
2010-12-31 04:00:00,2010-12-31 05:00:00,159,,69,0.0001,-17,,C1.3,1,0,45,363,2010-12-31 04:00:00,1.30E-06,C1.3,2010-12-31 04:16:00,2010-12-31 04:25:00,2010-12-31 04:32:00,C1.9,1.93E-06,0.001057597,16,9,201012000000,15,69,2010-12-31 05:00:06,363,45,285,291,,,,,,,,,,2010-12-31 05:00:00,2011-01-01 05:00:00,,
2011-01-27 08:00:00,2011-01-27 10:00:00,169,,76,0.0001,-10,,B6.6,1,0,52,316,2011-01-27 08:00:00,6.60E-07,B6.6,2011-01-27 08:36:00,2011-01-27 08:50:00,2011-01-27 08:53:00,B9.2,9.25E-07,0.000440623,17,14,201101000000,15,76,2011-01-27 09:24:05,316,52,261,261,,,,,,,,,,2011-01-27 10:00:00,2011-01-27 14:00:00,,
2011-01-27 11:00:00,2011-01-27 14:00:00,178,,85,0.0001,-1,,C1.2,1,1,43,349,2011-01-27 11:00:00,1.20E-06,C1.2,2011-01-27 11:52:00,2011-01-27 12:01:00,2011-01-27 12:05:00,C1.7,1.72E-06,0.000599759,13,9,201101000000,15,85,2011-01-27 12:36:05,349,43,255,261,,,,,,,,,,2011-01-27 14:00:00,2011-01-28 02:00:00,,
2011-01-31 16:00:00,2011-01-31 20:00:00,-136,,131,,45,0.0002,,1,1,150,713,,,,,,,,,,,,,,131,2011-01-31 17:00:05,713,150,305,274,,,,,,,,,,2011-01-31 20:00:00,2011-02-01 20:00:00,,
2011-02-13 17:00:00,2011-02-13 18:00:00,90,0.0004,-4,0.0002,-91,,M6.6,1,1,276,373,2011-02-13 17:00:00,6.60E-05,M6.6,2011-02-13 17:21:00,2011-02-13 17:37:00,2011-02-13 17:47:00,M9.5,9.50E-05,0.061394174,26,16,201102000000,15,-4,2011-02-13 18:36:05,373,276,359,89,,,,,,,,,,2011-02-13 18:00:00,2011-02-14 18:00:00,,
2011-02-14 17:00:00,2011-02-14 18:00:00,98,0.001,4,0.0003,-83,,M2.2,1,0,360,326,2011-02-14 17:00:00,2.20E-05,M2.2,2011-02-14 17:18:00,2011-02-14 17:26:00,2011-02-14 17:32:00,M3.2,3.27E-05,0.013658728,14,8,201102000000,15,4,2011-02-14 18:24:05,326,360,Halo,315,,,,,,,,,,2011-02-14 18:00:00,2011-02-15 02:00:00,,
2011-02-24 07:00:00,2011-02-24 08:00:00,-8,0.0006,-102,,171,,M3.5,1,0,158,1186,2011-02-24 07:00:00,3.50E-05,M3.5,2011-02-24 07:19:00,2011-02-24 07:35:00,2011-02-24 07:42:00,M5.0,5.04E-05,0.030378727,23,16,201102000000,15,-102,2011-02-24 07:48:05,1186,158,70,96,2011-02-24 08:00:00,900,22,-18,-100,2011-02-24 12:10:00,,,2011-02-24T08:00:00-CME-001,2011-02-24 08:00:00,2011-02-25 08:00:00,,
2011-03-04 14:00:00,2011-03-04 15:00:00,-85,,180,,92,0.0003,,1,0,60,297,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,2011-03-04 15:00:00,2011-03-05 15:00:00,,CME measurements from STEREO-B CACTUS catalog. Speed 297 km/s width 60 deg.
2011-03-07 13:00:00,2011-03-07 15:00:00,74,0.4,-21,0.0004,-109,,M1.9,1,1,261,698,2011-03-07 13:00:00,1.90E-05,M1.9,2011-03-07 13:42:00,2011-03-07 14:11:00,,M2.5,2.54E-05,,,29,201103000000,15,-21,2011-03-07 14:48:36,698,261,354,53,2011-03-07 14:40:00,710,35,15,-13,2011-03-07 19:52:00,,,2011-03-07T14:40:00-CME-001,2011-03-07 15:00:00,2011-03-07 21:00:00,,
2011-03-16 17:00:00,2011-03-16 22:00:00,167,,72,0.004,-16,0.0002,C3.7,1,0,184,682,2011-03-16 17:00:00,3.70E-06,C3.7,2011-03-16 17:00:00,,,C5.2,5.29E-06,,,,,,72,2011-03-16 19:12:07,682,184,268,323,,,,,,,,,,2011-03-16 22:00:00,2011-03-17 22:00:00,,Likely an erroneous value for start time of the CME in the DONKI database.
2011-03-29 20:00:00,2011-03-30 04:00:00,-25,0.01,-120,,151,0.003,,0,0,195,1264,,,,,,,,,,,,,,-120,2011-03-29 20:36:07,1264,195,54,100,2011-03-29 20:36:00,1320,66,6,-115,2011-03-29 23:11:00,,,2011-03-29T20:36:00-CME-001,2011-03-30 04:00:00,2011-03-31 04:00:00,,CME dA (deg): > 195
2011-04-03 05:00:00,2011-04-03 06:00:00,170,,75,0.0008,-14,,C1.2,1,0,,,2011-04-03 05:00:00,1.20E-06,C1.2,2011-04-03 05:05:00,2011-04-03 05:14:00,,C1.7,1.76E-06,,,9,201104000000,15,75,,,,,,,,,,,,,,,2011-04-03 06:00:00,2011-04-04 06:00:00,,Data gap in CDAW
2011-04-04 03:00:00,2011-04-04 12:00:00,165,,70,0.001,-19,,B8.6,1,0,,,2011-04-04 03:00:00,8.60E-07,B8.6,2011-04-04 03:00:00,,,C1.2,1.23E-06,,,,,,70,,,,,,,,,,,,,,,2011-04-04 12:00:00,2011-04-05 12:00:00,,Data gap in CDAW
2011-04-21 00:00:00,2011-04-21 02:00:00,-105,,160,0.0007,70,0.001,,1,0,111,475,,,,,,,,,,,,,,160,2011-04-21 00:48:05,475,111,285,287,,,,,,,,,,2011-04-21 02:00:00,2011-04-22 02:00:00,,
2011-05-09 20:00:00,2011-05-10 00:00:00,0,0.002,-94,,174,,C5.4,1,2,292,1318,2011-05-09 20:00:00,5.40E-06,C5.4,2011-05-09 20:28:00,2011-05-09 20:59:00,2011-05-09 21:21:00,C7.7,7.77E-06,0.013445746,53,31,201105000000,15,-94,2011-05-09 20:57:26,1318,292,55,73,2011-05-09 21:00:00,776,58,26,-91,2011-05-10 00:59:00,LE,StereoCAT,2011-05-09T21:00:00-CME-001,2011-05-10 00:00:00,2011-05-11 00:00:00,,
2011-05-11 02:00:00,2011-05-11 04:00:00,147,,53,0.004,-39,,B8.1,1,0,225,745,2011-05-11 02:00:00,8.10E-07,B8.1,2011-05-11 02:21:00,2011-05-11 02:43:00,,C1.1,1.14E-06,,,22,201105000000,15,53,2011-05-11 02:48:06,745,225,320,283,2011-05-11 02:48:00,350,33,5,50,2011-05-11 13:00:00,,,2011-05-11T02:48:00-CME-001,2011-05-11 04:00:00,2011-05-12 04:00:00,,
2011-05-19 03:00:00,2011-05-19 06:00:00,126,,32,,-61,0.0001,B3.0,1,0,132,626,2011-05-19 03:00:00,3.00E-07,B3.0,2011-05-19 03:00:00,,,B4.2,4.29E-07,,,,,,32,2011-05-19 04:36:06,626,132,311,295,2011-05-19 04:36:00,611,20,20,36,2011-05-19 10:35:00,,,2011-05-19T04:36:00-CME-001,2011-05-19 06:00:00,2011-05-20 06:00:00,,
2011-05-29 20:00:00,2011-05-29 22:00:00,25,0.01,-68,,-162,,C8.7,1,2,186,1407,2011-05-29 20:00:00,8.70E-06,C8.7,2011-05-29 20:54:00,2011-05-29 21:22:00,2011-05-29 21:47:00,M1.2,1.26E-05,0.0269717,53,28,201105000000,15,-68,2011-05-29 21:24:08,1407,186,107,105,2011-05-29 21:30:00,915,40,-5,-55,2011-05-30 00:10:00,,,2011-05-29T21:30:00-CME-001,2011-05-29 22:00:00,2011-05-30 22:00:00,,
