SEP Reference Time,Flare Magnitude Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Xray Time To Peak,Flare Catalog ID,Event Source Latitude,Event Source Longitude,Event Source Reference,CDAW CME Speed,GOES Xray Satellite,Comments
1986-02-03 20:40:00,2e-05,,,,M2.8,0.000028571,,,,,-9.0,-27.0,IGR List,,,IGR List
1986-02-04 07:35:00,,,,,,,,,,,-3.0,-21.0,IGR List,,,IGR List
1986-02-06 06:22:00,0.0002,,,,X2.8,0.00028571,,,,,-7.0,2.0,IGR List,,,IGR List
1986-02-07 10:24:00,5e-05,,,,M7.1,0.000071429,,,,,-11.0,21.0,IGR List,,,IGR List
1986-02-10 20:55:00,1e-05,,,,M1.4,0.000014286,,,,,-1.0,32.0,IGR List,,,IGR List
1986-02-14 09:22:00,6e-05,,,,M8.5,0.000085714,,,,,0.0,78.0,IGR List,,,IGR List
1986-03-06 17:02:00,5e-06,,,,C7.1,0.0000071429,,,,,2.0,-1.0,IGR List,,,IGR List
1986-05-04 09:30:00,1e-05,,,,M1.4,0.000014286,,,,,6.0,90.0,IGR List,,,IGR List
1987-05-29 20:00:00,1e-06,,,,C1.4,0.0000014286,,,,,30.0,97.0,IGR List,,,IGR List
1987-07-24 10:52:00,3e-05,,,,M4.2,0.000042857,,,,,-28.0,36.0,IGR List,,,IGR List
1987-08-01 18:19:00,9e-06,,,,M1.2,0.000012857,,,,,-22.0,72.0,IGR List,,,IGR List
1987-08-29 03:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1987-08-31 12:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1987-10-16 09:59:00,2e-05,,,,M2.8,0.000028571,,,,,21.0,11.0,IGR List,,,IGR List
1987-11-05 09:42:00,7e-06,,,,M1.0,0.000010000,,,,,-21.0,-35.0,IGR List,,,IGR List
1987-11-05 23:39:00,2e-05,,,,M2.8,0.000028571,,,,,30.0,77.0,IGR List,,,IGR List
1988-06-15 04:39:00,3e-06,,,,C4.2,0.0000042857,,,,,-24.0,54.0,IGR List,,,IGR List
1988-06-29 07:37:00,7e-05,,,,X1.0,0.00010000,,,,,-19.0,-24.0,IGR List,,,IGR List
1988-06-30 09:05:00,9e-05,,,,X1.2,0.00012857,,,,,-16.0,-23.0,IGR List,,,IGR List
1988-07-21 05:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1988-07-23 12:00:00,,,,,,,,,,,,,IGR List,,,IGR List
