,Cycle,EventType,InitiationDT,SEP Reference Time,InitiationEvent,Case,Flare Xray Start Time Deprecated,Flare Xray Peak Time Deprecated,Flare Xray End Time Deprecated,Flare Class Deprecated,Flare Magnitude Deprecated,Flare Integrated Flux Deprecated,Flare Duration Deprecated,Flare Xray Time To Peak Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Xray Time To Peak,Flare Catalog ID,Flare Opt,Active Region,AR Area,AR Spot Class,AR Mag Class,AR Carrington,Event Location From Center,Event Latitude,Event Longitude,Event Location Source,Event Location from Center 2,Event Latitude 2,Event Longitude 2,Event Location Source 2,Radio Rbr245Max,Radio Rbr2695Max,Radio Rbr8800,Radio TyIII_Imp,Radio m_TyII Start Time,Radio m_TyII End Time,Radio TyII Imp,Radio TyII Speed,Radio m_TyII Start Frequency,Radio m_TyII End Frequency,Radio Station,Radio DH Start Time,Radio DH End Time,Radio DH Start Frequency,Radio DH End Frequency,Radio DH Note,Radio TyIV Start Time,Radio TyIV End Time,Radio TyIV Imp,Radio TyIV Duration,CDAW CME First Look Time,CDAW CME Speed,CDAW CME Width,CDAW CME Mean Position Angle,DONKI CME Start Time,DONKI CME Speed,DONKI CME Half Width,DONKI CME Lat,DONKI CME Lon,DONKI CME Time at 21.5,DONKI CME Feature,DONKI CME Measurement Technique,DONKI CME Catalog ID,CME Transit Time,Proton Max Energy,P10_FluxStart,P10_StartDT,P10_OnsetMax_DT,P10_OnsetMax,ESP_CME,P10_PeakDT,P10_PeakVal,P10_EndDT,P10_TimeToOnset(h),P10_TimeToOnsetPeak(h),P10_TimeToPeak(h),P10_Dur(h),EventTermination,P50_FluxStart,P50_StartDT,P50_OnsetPeakDT,P50_Onset MaxVal,P50_PeakDT,P50_PeakVal,P50_EndDT,P50_TranTime(h),P50_PeakRise(h),P50_Dur(h),P100_FluxStart,P100_StartDT,Onset_P100_PkDT,Onset_P100_PkVal,Event_P100_PkDT,Event_P100_PkVal,P100_EndDT,P100_TranTime(h),P100_PeakRise(h),P100_Dur(h),GLE Event Number,ESP Flare Xray Start Time Deprecated,ESP Flare Xray Peak Time Deprecated,ESP Flare Xray End Time Deprecated,ESP Flare Class Deprecated,ESP Flare Opt,ESP Flare Integrated Flux Deprecated,ESP Flare Duration Deprecated,ESP Flare Xray Time to Peak Deprecated,ESP Active Region,ESP AR Area,ESP AR Spot Class,ESP AR Mag Class,ESP AR Carrington,ESP Event Location From Center,ESP Event Latitude,ESP Event Longitude,ESP Event Location Source,ESP Radio m_TyII Start Time,ESP Radio m_TyII End Time,ESP Radio Station,ESP Radio TyII Imp,ESP Radio TyII Speed,ESP CDAW CME First Look Time,ESP CDAW CME LASCO Speed,ESP DONKI CME Speed,ESP CME Transit Time,ACE CME passage,ACE Bz,Sudden Imp Time,Sudden Imp Amplitude,DST,GOES Xray Satellite,GOES Protons Satellite,PRF,Comments
0,23.0,ESPE,1997-11-04 05:58:00,1997-11-04 06:40:00,FL-PK,AR,1997-11-04 05:52:00,1997-11-04 05:58:00,1997-11-04 06:02:00,X2.1,0.00021,0.005,10.0,6.0,1997-11-04 05:56:00,1997-11-04 05:58:00,1997-11-04 06:02:00,X3.0,0.00030428572790697217,0.08681143075227737,6.0,2.0,199711040556,2B,8100,660.0,Fkc,BGD,353.0,35.5,-14.0,33.0,LEA,,,,,9800.0,690.0,1000.0,3.0,1997-11-04 06:08:00,1997-11-04 06:11:00,3.0,1400.0,50.0,7.0,SVI,1997-11-04 06:00:00,1997-11-05 04:30:00,14000.0,100.0,None,1997-11-04 06:11:00,1997-11-04 10:19:00,3.0,248.0,1997-11-04 06:10:00,785.0,Halo (BA),243.0,,,,,,,,,,12,500,1997-11-04 06:40:00,1997-11-04 08:20:00,1997-11-04 11:20:00,72.0,,1997-11-04 11:20:00,72.0,1997-11-05 11:30:00,2.37,3.0,3.0,27.17,,,,,,,,,,,,,1997-11-04 07:25:00,1997-11-04 09:30:00,2.6,,,1997-11-04 15:10:00,1.45,2.08,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,1158,
1,23.0,ESPE,1997-11-06 11:55:00,1997-11-06 12:30:00,FL-PK,AR,1997-11-06 11:49:00,1997-11-06 11:55:00,1997-11-06 12:01:00,X9.4,0.00094,0.036,12.0,6.0,1997-11-06 11:52:00,1997-11-06 11:55:00,1997-11-06 12:01:00,X13.4,0.001345714321359992,0.5425199866294861,9.0,3.0,199711061152,2B,8100,900.0,Fkc,BGD,353.0,64.4,-18.0,63.0,RAM,,,,,54000.0,3300.0,8400.0,,1997-11-06 11:53:00,1997-11-06 12:16:00,2.0,,245.0,45.0,IZMI,1997-11-06 12:20:00,1997-11-07 08:30:00,14000.0,100.0,None,1997-11-06 11:52:00,1997-11-06 23:59:00,3.0,727.0,1997-11-06 12:10:00,1556.0,Halo (OA),262.0,,,,,,,,,,15,900,1997-11-06 12:30:00,1997-11-06 13:05:00,1997-11-07 02:55:00,495.0,,1997-11-07 02:55:00,495.0,1997-11-09 12:05:00,1.17,13.83,13.83,71.0,,,,,,,,,,,,,1997-11-06 12:45:00,1997-11-06 16:40:00,51.0,,,1997-11-08 01:10:00,0.83,3.92,36.42,GLE 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,1158,
2,23.0,ESPE,1998-04-20 10:21:00,1998-04-20 11:15:00,FL-PK,Farside,1998-04-20 09:38:00,1998-04-20 10:21:00,1998-04-20 11:18:00,M1.4,1.4e-05,0.061,100.0,43.0,1998-04-20 09:12:00,1998-04-20 10:21:00,1998-04-20 11:25:00,M2.1,2.1285713955876417e-05,0.09419786185026169,133.0,69.0,199804200912,,8194,,,,39.0,,-17.0,119.0,EST,,,,,,,,,1998-04-20 09:56:00,1998-04-20 10:02:00,2.0,2000.0,51.0,35.0,SVI,1998-04-20 10:25:00,1998-04-22 06:00:00,10000.0,35.0,None,,,,,1998-04-20 10:07:00,1863.0,>243,278.0,,,,,,,,,,-14,,1998-04-20 11:15:00,1998-04-20 14:00:00,1998-04-21 12:10:00,1700.0,,1998-04-21 12:10:00,1700.0,1998-04-22 04:30:00,3.65,22.17,22.17,38.5,,,,,,,,,,,,,1998-04-20 17:10:00,1998-04-21 12:55:00,7.4,,,1998-04-22 04:30:00,6.82,19.75,35.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,1182,EPL -  Eruptive prominence on limb
3,23.0,ESPE,1998-05-02 13:42:00,1998-05-02 14:00:00,FL-PK,AR,1998-05-02 13:31:00,1998-05-02 13:42:00,1998-05-02 13:51:00,X1.1,0.00011,0.067,20.0,11.0,1998-05-02 13:27:00,1998-05-02 13:42:00,1998-05-02 13:51:00,X1.6,0.00016999999934341758,0.10070648789405823,24.0,15.0,199805021327,3B,8210,340.0,Dki,GD,138.0,21.1,-15.0,15.0,RAM,,,,,14000.0,1300.0,1700.0,,,,,,,,,1998-05-02 14:25:00,1998-05-02 14:50:00,5000.0,3000.0,Narrowband wisps,1998-05-02 13:38:00,1998-05-02 23:21:00,2.0,583.0,1998-05-02 14:06:00,938.0,Halo (BA),331.0,,,,,,,,,,24,,1998-05-02 14:00:00,1998-05-02 14:20:00,1998-05-02 16:50:00,146.0,,1998-05-02 16:50:00,146.0,1998-05-04 03:30:00,0.63,2.5,2.5,37.17,,,,,,,,,,,,,1998-05-02 14:05:00,1998-05-02 15:40:00,7.6,,,1998-05-03 21:20:00,0.38,1.58,31.25,GLE 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,1183,
4,23.0,ESPE,1998-05-06 08:09:00,1998-05-06 08:25:00,FL-PK,AR,1998-05-06 07:58:00,1998-05-06 08:09:00,1998-05-06 08:20:00,X2.7,0.00027,0.21,22.0,11.0,1998-05-06 07:57:00,1998-05-06 08:09:00,1998-05-06 08:20:00,X3.9,0.00039571430534124374,0.3185099959373474,23.0,12.0,199805060757,1N,8210,480.0,Dko,B,136.0,65.5,-11.0,65.0,COM,,,,,65000.0,490.0,1500.0,,1998-05-06 08:03:00,1998-05-06 08:19:00,3.0,,280.0,40.0,POTS,1998-05-06 08:25:00,1998-05-06 08:35:00,14000.0,5000.0,Very fast drift,1998-05-06 08:01:00,1998-05-06 09:39:00,3.0,98.0,1998-05-06 08:29:00,1099.0,190,294.0,,,,,,,,,,20,,1998-05-06 08:25:00,1998-05-06 08:45:00,1998-05-06 09:45:00,207.0,,1998-05-06 09:45:00,207.0,1998-05-07 01:40:00,0.6,1.0,1.0,16.92,,,,,,,,,,,,,1998-05-06 08:30:00,1998-05-06 08:40:00,2.9,,,1998-05-06 13:35:00,0.35,0.17,5.08,GLE 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,1184,
5,23.0,SPE,1998-05-09 03:40:00,1998-05-09 06:20:00,FL-PK,Farside,1998-05-09 03:04:00,1998-05-09 03:40:00,1998-05-09 03:55:00,M7.7,7.7e-05,0.11,51.0,36.0,1998-05-09 03:15:00,1998-05-09 03:40:00,1998-05-09 03:54:00,X1.0,0.00010985715198330581,0.15315085649490356,39.0,25.0,199805090315,,8210,,,,137.0,,-17.0,100.0,EST,,,,,56.0,210.0,61.0,3.0,1998-05-09 03:31:00,1998-05-09 03:42:00,3.0,1000.0,150.0,20.0,CUL,1998-05-09 03:35:00,1998-05-09 10:00:00,9000.0,400.0,Gap btwn 1000 and 500 kHz,1998-05-09 03:31:00,1998-05-09 04:13:00,3.0,42.0,1998-05-09 03:35:00,2331.0,178,275.0,,,,,,,,,,-5,,1998-05-09 06:20:00,1998-05-09 21:00:00,1998-05-09 23:05:00,11.0,,1998-05-09 23:05:00,11.0,1998-05-10 03:00:00,17.33,2.08,2.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,1184,
6,23.0,ESPE,1998-08-24 22:12:00,1998-08-24 23:10:00,FL-PK,AR/ESP,1998-08-24 21:50:00,1998-08-24 22:12:00,1998-08-24 22:35:00,X1.0,0.0001,0.16,45.0,22.0,1998-08-24 21:44:00,1998-08-24 22:12:00,1998-08-24 22:35:00,X1.5,0.00015714285837020725,0.23456622660160065,51.0,28.0,199808242144,3B,8307,450.0,Dko,BD,38.0,36.0,35.0,-9.0,HOL,,,,,830.0,2100.0,2100.0,2.0,1998-08-24 22:03:00,1998-08-24 22:11:00,3.0,1300.0,130.0,20.0,CUL,1998-08-24 22:05:00,1998-08-26 06:20:00,14000.0,30.0,Most intense since launch,1998-08-24 22:03:00,1998-08-25 00:00:00,2.0,117.0,,,,,,,,,,,,,,,,1998-08-24 23:10:00,1998-08-24 23:55:00,1998-08-25 04:30:00,187.0,RELAT,1998-08-26 10:55:00,665.0,1998-08-29 12:10:00,1.72,4.58,35.0,108.25,,,,,,,,,,,,,1998-08-24 23:10:00,1998-08-25 00:55:00,3.7,,,1998-08-25 14:10:00,0.97,1.75,15.0,,1998-08-24 21:50:00,1998-08-24 22:12:00,1998-08-24 22:35:00,X1.0,3B,0.16,45.0,22.0,8307.0,450.0,Dko,BD,38.0,36,35.0,-9.0,RELAT,1998-08-24 22:03:00,1998-08-24 22:11:00,3,3.0,1300.0,,,,32.65,1998-08-26 06:15:00,,1998-08-26 06:51:00,-75.0,-155,8.0,8.0,1200,Missing CME imagery. ESPIncludes loop prominence system'
7,23.0,SPE,1998-09-23 07:13:00,1998-09-23 14:20:00,FL-PK,ESP,1998-09-23 06:40:00,1998-09-23 07:13:00,1998-09-23 07:31:00,M7.1,7.1e-05,0.12,51.0,33.0,1998-09-23 06:35:00,1998-09-23 07:12:00,1998-09-23 07:31:00,X1.0,0.00010271429346175864,0.1778274029493332,56.0,37.0,199809230635,3B,8340,380.0,Dai,B,13.0,20.1,18.0,-9.0,SVI,,,,,2900.0,1100.0,1500.0,1.0,1998-09-23 06:57:00,1998-09-23 07:05:00,3.0,700.0,170.0,50.0,CUL,1998-09-23 07:20:00,1998-09-24 23:20:00,2000.0,30.0,Complex  intense event w. multiple type Iis,1998-09-23 06:56:00,1998-09-23 10:02:00,3.0,186.0,,,,,,,,,,,,,,,,1998-09-23 14:20:00,1998-09-25 00:10:00,1998-09-24 14:45:00,1.0,RELAT,1998-09-25 01:30:00,44.0,1998-09-25 07:00:00,40.95,-9.42,1.33,0.88,,,,,,,,,,,,,,,,,,,,,,,1998-09-23 06:40:00,1998-09-23 07:13:00,1998-09-23 07:31:00,M7.1,3B,0.12,51.0,33.0,8340.0,380.0,Dai,B,13.0,20.1,18.0,-9.0,RELAT,1998-09-23 06:57:00,1998-09-23 07:05:00,CUL,3.0,700.0,,,,40.53,1998-09-24 23:15:00,,1998-09-24 23:45:00,,-33 [-207],10.0,8.0,1204,Missing CME imagery. ESP component?
8,23.0,ESPE,1998-09-30 13:50:00,1998-09-30 14:20:00,FL-PK,AR,1998-09-30 13:08:00,1998-09-30 13:50:00,1998-09-30 14:48:00,M2.8,2.8e-05,0.11,100.0,42.0,1998-09-30 12:59:00,1998-09-30 13:48:00,,M4.0,4.099999932805076e-05,,,49.0,199809301259,2N,8340,230.0,Hsx,A,14.0,81.7,23.0,81.0,RAM,,,,,78.0,450.0,150.0,2.0,1998-09-30 13:22:00,1998-09-30 13:30:00,3.0,1200.0,85.0,35.0,SVI,1998-09-30 13:20:00,1998-10-02 07:00:00,14000.0,50.0,Complex  intermittent event,1998-09-30 13:27:00,1998-09-30 14:07:00,3.0,40.0,,,,,,,,,,,,,,,,1998-09-30 14:20:00,1998-09-30 15:20:00,1998-10-01 00:25:00,1160.0,,1998-10-01 00:25:00,1160.0,1998-10-02 08:30:00,1.5,9.08,9.08,41.17,,,,,,,,,,,,,1998-09-30 14:40:00,1998-09-30 19:40:00,3.0,,,1998-09-30 22:35:00,0.83,5.0,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,1205,Missing CME imagery.
9,23.0,SPE,1998-11-08 04:51:00,1998-11-07 22:25:00,Shock,Farside/ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1998-11-07 22:25:00,1998-11-08 01:10:00,1998-11-08 02:45:00,11.0,UNRELAT,1998-11-08 02:45:00,11.0,1998-11-08 03:10:00,,1.58,1.58,2.0,,,,,,,,,,,,,,,,,,,,,,,1998-11-05 19:00:00,1998-11-05 19:55:00,1998-11-05 20:12:00,M8.4,2B,0.11,72.0,55.0,8375.0,330.0,Dsi,BG,183.0,28.1,22.0,18.0,UNREL,1998-11-05 19:51:00,1998-11-05 19:57:00,PAL,2.0,900.0,,,,56.93,1998-11-08 04:00:00,,1998-11-08 04:51:00,,-149,8.0,8.0,1210,Missing CME imagery. BS CME. 2 sub threshold events  then a 3rd event that crosses threshold. AmbiguousCDAW attributes to shock passage from CME 1998/11/05 2044 halo  Nonrelated .   05/1955 M8.4/2B N22W18  Type II/2 F10/400  05/2044 1118 km/s AR 8375
