year,month,instrument
1974,7,sms01
1974,9,sms01
1974,11,sms01
1974,12,goes01
1974,12,sms01
1975,1,sms01
1975,2,sms02
1975,3,sms01
1975,3,sms02
1975,4,sms01
1975,4,sms02
1975,5,sms01
1975,5,sms02
1975,6,sms01
1975,6,sms02
1975,7,sms01
1975,7,sms02
1975,8,sms01
1975,8,sms02
1975,9,sms01
1975,9,sms02
1975,10,sms01
1975,10,sms02
1975,11,sms02
1975,12,sms02
1976,1,goes01
1976,1,sms02
1976,2,sms02
1976,3,goes01
1976,3,sms02
1976,4,goes01
1976,4,sms02
1976,5,goes01
1976,5,sms02
1976,6,goes01
1976,6,sms02
1976,7,goes01
1976,7,sms02
1976,8,sms02
1976,9,sms02
1976,10,sms02
1976,11,sms02
1976,12,sms02
1977,1,goes01
1977,1,sms02
1977,2,goes01
1977,2,sms02
1977,3,goes01
1977,3,sms02
1977,4,goes01
1977,4,sms02
1977,5,goes01
1977,6,goes01
1977,7,goes01
1977,8,goes02
1977,9,goes02
1977,9,sms02
1977,10,goes02
1977,10,sms02
1977,11,goes02
1977,11,sms02
1977,12,goes02
1977,12,sms02
1978,1,goes02
1978,1,sms02
1978,2,goes02
1978,2,sms02
1978,3,goes02
1978,3,sms02
1978,4,goes01
1978,4,goes02
1978,5,goes01
1978,5,goes02
1978,6,goes02
1978,7,goes02
1978,7,goes03
1978,8,goes02
1978,8,goes03
1978,9,goes02
1978,9,goes03
1978,10,goes02
1978,10,goes03
1978,11,goes02
1978,11,goes03
1978,12,goes02
1978,12,goes03
1979,1,goes02
1979,1,goes03
1979,2,goes02
1979,2,goes03
1979,3,goes02
1979,3,goes03
1979,4,goes02
1979,4,goes03
1979,5,goes02
1979,5,goes03
1979,6,goes02
1979,6,goes03
1979,7,goes02
1979,7,goes03
1979,8,goes02
1979,8,goes03
1979,9,goes02
1979,9,goes03
1979,10,goes02
1979,10,goes03
1979,11,goes02
1979,11,goes03
1979,12,goes02
1979,12,goes03
1980,1,goes02
1980,1,goes03
1980,2,goes02
1980,2,goes03
1980,3,goes02
1980,3,goes03
1980,4,goes02
1980,4,goes03
1980,5,goes02
1980,5,goes03
1980,6,goes02
1980,6,goes03
1980,7,goes02
1980,7,goes03
1980,8,goes02
1980,8,goes03
1980,9,goes02
1980,10,goes02
1980,11,goes02
1980,12,goes02
1981,1,goes02
1981,2,goes02
1981,3,goes02
1981,4,goes02
1981,5,goes02
1981,6,goes02
1981,7,goes02
1981,8,goes02
1981,9,goes02
1981,10,goes02
1981,11,goes02
1981,12,goes02
1982,1,goes02
1982,2,goes02
1982,3,goes02
1982,4,goes02
1982,5,goes02
1982,6,goes02
1982,7,goes02
1982,8,goes02
1982,9,goes02
1982,10,goes02
1982,11,goes02
1982,12,goes02
1983,1,goes02
1983,1,goes05
1983,2,goes02
1983,2,goes05
1983,3,goes02
1983,3,goes05
1983,4,goes02
1983,4,goes05
1983,5,goes02
1983,5,goes05
1983,5,goes06
1983,6,goes05
1983,6,goes06
1983,7,goes05
1983,7,goes06
1983,8,goes05
1983,8,goes06
1983,9,goes05
1983,9,goes06
1983,10,goes05
1983,10,goes06
1983,11,goes05
1983,11,goes06
1983,12,goes05
1983,12,goes06
1984,1,goes05
1984,1,goes06
1984,2,goes05
1984,2,goes06
1984,3,goes05
1984,3,goes06
1984,4,goes05
1984,4,goes06
1984,5,goes05
1984,5,goes06
1984,6,goes05
1984,6,goes06
1984,7,goes05
1984,7,goes06
1984,8,goes05
1984,8,goes06
1984,9,goes05
1984,9,goes06
1984,10,goes05
1984,10,goes06
1984,11,goes05
1984,11,goes06
1984,12,goes05
1984,12,goes06
1985,1,goes05
1985,1,goes06
1985,2,goes05
1985,2,goes06
1985,3,goes05
1985,3,goes06
1985,4,goes05
1985,4,goes06
1985,5,goes05
1985,5,goes06
1985,6,goes05
1985,6,goes06
1985,7,goes05
1985,7,goes06
1985,8,goes05
1985,8,goes06
1985,9,goes05
1985,9,goes06
1985,10,goes05
1985,10,goes06
1985,11,goes05
1985,11,goes06
1985,12,goes05
1985,12,goes06
1986,1,goes05
1986,1,goes06
1986,2,goes05
1986,2,goes06
1986,3,goes05
1986,3,goes06
1986,4,goes05
1986,4,goes06
1986,5,goes05
1986,5,goes06
1986,6,goes05
1986,6,goes06
1986,7,goes05
1986,7,goes06
1986,8,goes05
1986,8,goes06
1986,9,goes05
1986,9,goes06
1986,10,goes05
1986,10,goes06
1986,11,goes05
1986,11,goes06
1986,12,goes05
1986,12,goes06
1987,1,goes05
1987,1,goes06
1987,2,goes05
1987,2,goes06
1987,3,goes06
1987,3,goes07
1987,4,goes06
1987,4,goes07
1987,5,goes06
1987,5,goes07
1987,6,goes06
1987,6,goes07
1987,7,goes06
1987,7,goes07
1987,8,goes06
1987,8,goes07
1987,9,goes06
1987,9,goes07
1987,10,goes06
1987,10,goes07
1987,11,goes06
1987,11,goes07
1987,12,goes06
1987,12,goes07
1988,1,goes06
1988,1,goes07
1988,2,goes06
1988,2,goes07
1988,3,goes06
1988,3,goes07
1988,4,goes06
1988,4,goes07
1988,5,goes06
1988,5,goes07
1988,6,goes06
1988,6,goes07
1988,7,goes06
1988,7,goes07
1988,8,goes06
1988,8,goes07
1988,9,goes06
1988,9,goes07
1988,10,goes06
1988,10,goes07
1988,11,goes06
1988,11,goes07
1988,12,goes06
1988,12,goes07
1989,1,goes06
1989,1,goes07
1989,2,goes06
1989,2,goes07
1989,3,goes06
1989,3,goes07
1989,4,goes06
1989,4,goes07
1989,5,goes06
1989,5,goes07
1989,6,goes06
1989,6,goes07
1989,7,goes06
1989,7,goes07
1989,8,goes06
1989,8,goes07
1989,9,goes06
1989,9,goes07
1989,10,goes06
1989,10,goes07
1989,11,goes06
1989,11,goes07
1989,12,goes06
1989,12,goes07
1990,1,goes06
1990,1,goes07
1990,2,goes06
1990,2,goes07
1990,3,goes06
1990,3,goes07
1990,4,goes06
1990,4,goes07
1990,5,goes06
1990,5,goes07
1990,6,goes06
1990,6,goes07
1990,7,goes06
1990,7,goes07
1990,8,goes06
1990,8,goes07
1990,9,goes06
1990,9,goes07
1990,10,goes06
1990,10,goes07
1990,11,goes06
1990,11,goes07
1990,12,goes06
1990,12,goes07
1991,1,goes06
1991,1,goes07
1991,2,goes06
1991,2,goes07
1991,3,goes06
1991,3,goes07
1991,4,goes06
1991,4,goes07
1991,5,goes06
1991,5,goes07
1991,6,goes06
1991,6,goes07
1991,7,goes06
1991,7,goes07
1991,8,goes06
1991,8,goes07
1991,9,goes06
1991,9,goes07
1991,10,goes06
1991,10,goes07
1991,11,goes06
1991,11,goes07
1991,12,goes06
1991,12,goes07
1992,1,goes06
1992,1,goes07
1992,2,goes06
1992,2,goes07
1992,3,goes06
1992,3,goes07
1992,4,goes06
1992,4,goes07
1992,5,goes06
1992,5,goes07
1992,6,goes06
1992,6,goes07
1992,7,goes06
1992,7,goes07
1992,8,goes06
1992,8,goes07
1992,9,goes06
1992,9,goes07
1992,10,goes06
1992,10,goes07
1992,11,goes06
1992,11,goes07
1992,12,goes06
1992,12,goes07
1993,1,goes06
1993,1,goes07
1993,2,goes06
1993,2,goes07
1993,3,goes06
1993,3,goes07
1993,4,goes06
1993,4,goes07
1993,5,goes06
1993,5,goes07
1993,6,goes06
1993,6,goes07
1993,7,goes06
1993,7,goes07
1993,8,goes06
1993,8,goes07
1993,9,goes06
1993,9,goes07
1993,10,goes06
1993,10,goes07
1993,11,goes06
1993,11,goes07
1993,12,goes06
1993,12,goes07
1994,1,goes06
1994,1,goes07
1994,2,goes06
1994,2,goes07
1994,3,goes06
1994,3,goes07
1994,4,goes06
1994,4,goes07
1994,5,goes06
1994,5,goes07
1994,6,goes06
1994,6,goes07
1994,7,goes06
1994,7,goes07
1994,8,goes06
1994,8,goes07
1994,9,goes06
1994,9,goes07
1994,10,goes06
1994,10,goes07
1994,11,goes06
1994,11,goes07
1994,12,goes07
1995,1,goes07
1995,1,goes08
1995,2,goes07
1995,2,goes08
1995,3,goes07
1995,3,goes08
1995,4,goes07
1995,4,goes08
1995,5,goes07
1995,5,goes08
1995,6,goes07
1995,6,goes08
1995,7,goes07
1995,7,goes08
1995,8,goes07
1995,8,goes08
1995,9,goes07
1995,9,goes08
1995,10,goes07
1995,10,goes08
1995,11,goes07
1995,11,goes08
1995,12,goes07
1995,12,goes08
1996,1,goes07
1996,1,goes08
1996,2,goes07
1996,2,goes08
1996,3,goes07
1996,3,goes08
1996,4,goes07
1996,4,goes08
1996,4,goes09
1996,5,goes07
1996,5,goes08
1996,5,goes09
1996,6,goes07
1996,6,goes08
1996,6,goes09
1996,7,goes07
1996,7,goes08
1996,7,goes09
1996,8,goes07
1996,8,goes08
1996,8,goes09
1996,9,goes08
1996,9,goes09
1996,10,goes08
1996,10,goes09
1996,11,goes08
1996,11,goes09
1996,12,goes08
1996,12,goes09
1997,1,goes08
1997,1,goes09
1997,2,goes08
1997,2,goes09
1997,3,goes08
1997,3,goes09
1997,4,goes08
1997,4,goes09
1997,5,goes08
1997,5,goes09
1997,6,goes08
1997,6,goes09
1997,7,goes08
1997,7,goes09
1997,8,goes08
1997,8,goes09
1997,9,goes08
1997,9,goes09
1997,10,goes08
1997,10,goes09
1997,11,goes08
1997,11,goes09
1997,12,goes08
